,malignant_class1,malignant_class2,Tcell,Myeloid,Bcell,Endo,Fibroblast
CHIT1,12.768217912220226,0.6005665409721338,0.7483880528361783,5.485174912462664,1.358736904928705,0.5722270644561889,1.40444677685682
CHRM3-AS2,1.3012652780737861,0.24280302922164776,12.136567916016462,0.155779642452362,0.9056401215856078,1.103339800815354,0.20610300957897643
CILP2,1.2482487124877268,23.160923084579657,0.2641169779844127,0.26650150286965624,0.14192370682175262,0.03878510694556908,1.8962339839186129
CITED4,75.01106626838877,38.70754846944236,7.374604197725645,5.13148275919643,11.954610131961104,21.53952577167747,22.13987340559694
CLDN1,28.144415045883104,2.909909645513724,0.14526477779612024,0.44979798440360025,12.822630710060741,0.0,3.4389393997182105
CLDN5,209.23023819075908,31.85356264862441,8.270539629240869,10.432722849344527,3.041949918022292,2688.143851216156,60.00536238263357
CLEC10A,26.832490962222764,1.6257346322107655,1.6963036537815959,164.71575533753258,26.828698839792157,15.990698004188488,14.791065004309127
CLEC1A,4.967632017741685,1.1583586848670904,0.18534423216250479,2.0446713227347506,1.3183307325042457,47.42563379274111,2.7054633744114986
CLEC4E,34.702252663109554,0.22721312560838758,1.1361651628778515,176.75231971626047,23.351477575437926,33.02276323605167,15.877106236192274
CLEC7A,19.86438800526235,0.3352009482886272,4.099555541660127,116.17920885283098,18.22808907000568,21.69680809054978,9.418272440756029
CNKSR2,2.2447336431465854,29.376325779857318,2.3220425409111805,0.23878181338228102,4.737150477963384,0.7582046240607571,4.717740585928537
CNR2,0.5403973418565643,0.2330708351067868,0.8174365762450165,0.09137115257377912,11.539292146866972,0.6148379775149955,0.35932458678081214
COL11A1,4.554990802080354,61.722932886992254,0.1325264134685398,0.28704068720452824,0.2881825853130537,0.7286168079205817,6.026207539407067
COL19A1,0.058900874452531074,0.49451269522507263,0.06331179619009078,0.02077272005118855,13.750318969191058,0.17327097671496697,0.08858378095751912
CP,4.239668076534564,11.71821235786341,1.7348997555979566,3.289246234232367,2.1449963684881728,6.951086436084462,129.8535461439372
CPA3,121.36709686255732,0.7623705905949861,2.3168983934302045,2.07702165061772,51.48938209229957,38.21314227719411,8.650941526805376
CRHBP,5.928927225075136,0.4610184352119645,0.19123725907701772,9.70891499811282,0.9269059666239514,92.50789893418775,5.671499170848017
CRTAM,38.9612328809192,2.6103192344265427,213.4450288370244,7.668773138744381,43.989932230781676,12.394371479510353,15.998305555582157
CSRNP3,3.6870657979026875,22.571594826534096,0.1716044329581135,0.5063772367860179,1.566633137609295,1.7474049283087718,3.733050566271615
CST6,10.451143044060036,0.19292240170889996,0.01687025408120969,1.0483796475593392,3.336597447307025,0.173286483644007,0.5147523903596873
CTLA4,8.19694402246418,0.8345430443447353,195.06708981527277,4.660907167494352,27.76730598580288,2.6424186145206203,5.687221135793074
