symbol,baseMean,log2 Fold Change,lfcSE,pvalue,padj
PITRM1,2867.797297,0.662978829,0.198149345,0.000820295,0.039906647
SP140,560.8664455,-1.513530058,0.453015464,0.000834736,0.039906647
AKR1C1,568.7911074,-1.736953263,0.519410343,0.000825539,0.039906647
SNAI3,63.5797409,-1.416354036,0.423926098,0.000834652,0.039906647
ICAM3,1070.518266,-1.180213053,0.353052773,0.000829137,0.039906647
INPP5D,1466.155799,-1.34154257,0.401344613,0.000829914,0.039906647
RBM47,1401.125101,-1.4387886,0.430688161,0.000835754,0.039906647
PIGG,1510.91487,0.601480606,0.179899895,0.00082753,0.039906647
LRP2BP,181.2191072,1.268096107,0.378820876,0.000815493,0.039906647
CYTH1,2719.416112,-0.746421374,0.222906201,0.00081224,0.039906647
FARP2,1959.459047,1.015401393,0.303567587,0.00082314,0.039906647
EVI2B,2598.364194,-1.367920193,0.409676004,0.000840717,0.039913575
PIK3CG,579.6236013,-1.405682861,0.420930916,0.000839408,0.039913575
SAMD4A,2965.84547,1.109998692,0.332577855,0.000845173,0.039934768
JCHAIN,8240.052614,-1.785649733,0.535059142,0.000845984,0.039934768
LILRB4,2254.122918,-1.563583405,0.468637949,0.000848581,0.03994357
ARL11,206.730218,-1.434739949,0.430750218,0.000865989,0.040192065
PHLPP1,2531.076309,1.202686402,0.36084685,0.000859288,0.040192065
PLCXD2,20.10784684,-1.437581117,0.431426673,0.000861758,0.040192065
FBXO7,13368.91093,1.068407432,0.320721456,0.00086453,0.040192065
TBC1D10C,534.095263,-1.645716478,0.493634887,0.000856455,0.040192065
CEBPA,1176.013628,-1.507348593,0.452772825,0.000871115,0.040317058
CYP4V2,2459.621932,1.204865294,0.362141004,0.000877671,0.040482487
ZSCAN2,399.7630748,-0.853055364,0.256505254,0.000882019,0.040482487
EAF2,186.075419,-1.496035759,0.449798873,0.000880986,0.040482487
TFR2,185.7970944,-1.754678408,0.527979092,0.000889317,0.040592549
C15orf57,800.9915725,-0.65110469,0.1958726,0.000886969,0.040592549
ST8SIA6,223.2630668,1.825823262,0.549677415,0.000894943,0.040737113
CORO1A,3156.385962,-1.627146917,0.490427286,0.000907246,0.041184002
RGN,76.45851481,-1.831570026,0.552820176,0.000922552,0.041764362
TSPAN13,1318.225731,-1.407406033,0.425009041,0.000928061,0.041899318
RFTN1,1554.354057,-1.215124785,0.367504769,0.000944966,0.042546597
CCR4,89.71202399,-1.5789288,0.477686542,0.000948525,0.04259108
IL2RG,2313.270981,-1.554543922,0.470435331,0.000951529,0.042610508
PIPOX,79.96555578,-1.500037893,0.454772109,0.000972241,0.043420663
DDX39B,4488.449042,0.847924178,0.257142475,0.000975539,0.043450825
